"killed_by","count"
"Punch",35341
"S1897",20642
"M16A4",15583
"P92",13953
"S686",13541
"UMP9",13361
"P1911",13347
"AKM",12917
"S12K",10946
"M416",10814
"SCAR-L",10170
"Micro UZI",8408
"Tommy Gun",5286
"Mini 14",4645
"SKS",4533
"R1895",3150
"Hit by Car",2812
"Vector",2514
"Kar98k",1212
"P18C",1175
"Falling",1162
"Pan",1035
"Crossbow",1018
"DP-28",904
"Grenade",867
"VSS",723
"Crowbar",505
"Sickle",457
"Machete",448
"death.Buff_FireDOT_C",40
"death.ProjMolotov_DamageField_C",22
"Motorbike (SideCar)",16
"Uaz",6
"death.ProjMolotov_C",4
"Motorbike",4
"Buggy",1
"Dacia",1
